Topic,Assessment Marked,Date,Days Left,Page,Unit
ICTICT213 Use computer operating systems and hardware,No,"August 9, 2022 → August 12, 2022",-197,,"Digital Application - ISD, Digital Applications - Web, Independent Study - ISD, Robotics and Mechatronics"
Level Design,No,"August 22, 2022 → August 26, 2022",-184,,Digital Application - ISD
Menu,No,"August 15, 2022 → August 15, 2022",-191,,Digital Application - ISD
Player Implementationb,No,"August 16, 2022 → August 19, 2022",-190,,Digital Application - ISD
Project Configuration,No,"August 15, 2022 → August 15, 2022",-191,,Digital Application - ISD
Rapid Development - Environment,No,"August 16, 2022",-190,,Digital Application - ISD
User Feedback,No,"September 19, 2022 → September 19, 2022",-156,,Digital Application - ISD
User Testing,No,"September 20, 2022 → September 20, 2022",-155,,Digital Application - ISD
Write your Game Design Document,No,"July 26, 2022 → August 5, 2022",-211,,Digital Application - ISD
Assessment 1,No,"February 28, 2022 → March 14, 2022",-359,"https://www.notion.so/1130b2ba6761462f82be93f06f79a7d0 ",Digital Solutions - ISD
Assessment Finalisation,No,"March 14, 2023 → March 17, 2023",19,,Digital Solutions - ISD
Assessment Finalisation,No,"May 12, 2022 → May 19, 2022",-286,"https://www.notion.so/c7fabf65e53e4f19aeb2e807bc31eb07 ",Digital Solutions - ISD
Assessment Submission Preparation,No,"April 4, 2022 → April 6, 2022",-324,"https://www.notion.so/41953e10d1d942bdab2a5f21b2d1d2b1 ",Digital Solutions - ISD
Brainstorming,No,"February 1, 2023 → February 3, 2023",-21,,Digital Solutions - ISD
Coding & Linking Scenes,No,"March 28, 2022 → April 1, 2022",-331,,Digital Solutions - ISD
Create Information & Quiz Pages for Each Topic,No,"March 21, 2022 → March 25, 2022",-338,,Digital Solutions - ISD
Develop Scoring System,No,"March 15, 2022 → March 18, 2022",-344,,Digital Solutions - ISD
Final Working Version,No,"May 2, 2022 → May 10, 2022",-296,"https://www.notion.so/b5ca2828b3f848babe6523149c9467ea ",Digital Solutions - ISD
First Working Draft,No,"March 21, 2022 → March 25, 2022",-338,,Digital Solutions - ISD
Game Design Document,No,"February 6, 2023 → February 10, 2023",-16,,Digital Solutions - ISD
Grey Box,No,"February 13, 2023 → March 3, 2023",-9,,Digital Solutions - ISD
Improve Question & Information Storage and Delivery,No,"April 26, 2022 → April 29, 2022",-302,,Digital Solutions - ISD
Information Delivery Collation,No,"February 21, 2022 → February 25, 2022",-366,"https://www.notion.so/22a4b3e2265c488d8c5fc6ceac81521e ",Digital Solutions - ISD
Interface Development,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/e7da4aa02c1b49dc9f686bc3dbd63d35 ",Digital Solutions - ISD
Media Collection,No,"May 26, 2022 → May 31, 2022",-272,"https://www.notion.so/6ae460ec08e042e1b2805393b238cf08 ",Digital Solutions - ISD
Presentation Planning,No,"May 23, 2022 → May 26, 2022",-275,,Digital Solutions - ISD
Project Fork & Pull Request,No,"February 11, 2022 → February 11, 2022",-376,"https://www.notion.so/b746a49d2b84486baa97bcbc04a213c6 ",Digital Solutions - ISD
Project Overview & Configuration,No,"February 1, 2023",-21,,Digital Solutions - ISD
Project Preparation & Theme,No,"January 31, 2022 → February 4, 2022",-387,"https://www.notion.so/4a8c0014ebf84ed385e5de1dc62bc4ce ",Digital Solutions - ISD
Question Review,No,"February 21, 2022 → February 25, 2022",-366,"https://www.notion.so/71b1350073be4485a6b1d3f799b849d9 ",Digital Solutions - ISD
Questions Written,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/afe506f0e6d743b598ea6bc7fea01f57 ",Digital Solutions - ISD
Scene Template Finalised,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/fdbd1c10228948efabc59e717507dee8 ",Digital Solutions - ISD
Scoring,No,"March 28, 2022 → April 1, 2022",-331,,Digital Solutions - ISD
UI Implementation,No,"March 15, 2022 → March 18, 2022",-344,,Digital Solutions - ISD
Video Production,No,"May 31, 2022 → June 15, 2022",-267,"https://www.notion.so/e06033a50cae47049841b4da2a56e1f2 ",Digital Solutions - ISD
Assessment 1 - Pitch - Due,Yes,"August 12, 2022",-194,,"Assessment Due Date, Independent Study - ISD"
Assessment 2 - Prototype - Due,Yes,"October 21, 2022",-124,,"Assessment Due Date, Independent Study - ISD"
Assessment 3 - Final Version - Due,Yes,"November 14, 2022",-100,,"Assessment Due Date, Independent Study - ISD"
Assessment Completion,No,"November 7, 2022 → November 11, 2022",-107,,Independent Study - ISD
Assessment Finalisation,No,"October 17, 2022 → October 19, 2022",-128,,Independent Study - ISD
Deep Research,No,"July 25, 2022 → July 29, 2022",-212,,Independent Study - ISD
Development Improvements,No,"October 10, 2022 → October 14, 2022",-135,,Independent Study - ISD
Development Log 1,No,"September 1, 2022",-174,,Independent Study - ISD
Development Log 2,No,"October 20, 2022",-125,,Independent Study - ISD
Development Phase 2,No,"September 13, 2022 → September 20, 2022",-162,,Independent Study - ISD
Development Sprint,No,"August 15, 2022 → September 2, 2022",-191,,Independent Study - ISD
Elevator Pitch - Project Overview,No,"July 18, 2022 → July 22, 2022",-219,,Independent Study - ISD
Final Development,No,"October 24, 2022 → November 4, 2022",-121,,Independent Study - ISD
Pitch Finalisation,No,"August 8, 2022 → August 12, 2022",-198,,Independent Study - ISD
Pitch Preparation,No,"August 1, 2022 → August 4, 2022",-205,,Independent Study - ISD
Project Structure,No,"August 15, 2022 → August 16, 2022",-191,,Independent Study - ISD
Remaining Elevator Pitches,No,"July 25, 2022",-212,,Independent Study - ISD
Unit Survey,No,"October 17, 2022 → October 21, 2022",-128,,"Digital Application - ISD, Digital Applications - Web, Independent Study - ISD, Independent Study - Robotics, Robotics and Mechatronics"
User Feedback,No,"October 10, 2022 → October 14, 2022",-135,,Independent Study - ISD
User Feedback,No,"September 5, 2022 → September 7, 2022",-170,,Independent Study - ISD
🟥 VR Escape Room,No,"October 13, 2022",-132,,"Digital Application - ISD, Digital Applications - Web, Independent Study - ISD, Independent Study - Robotics, Robotics and Mechatronics"
Algorithm Design - Decisions,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/d5b47c2372264c0cacf4585159f47dcd ",Digital Assets - Web Development
Algorithm Design - Loops,No,"February 21, 2022 → February 25, 2022",-366,"https://www.notion.so/7be53e708cbc491eb4b31c58f398873b ",Digital Assets - Web Development
Algorithm Design - Modularisation,No,"February 21, 2022 → February 25, 2022",-366,"https://www.notion.so/9d53455622074a319b08cd9c6944836a ",Digital Assets - Web Development
Algorithm Design - Sequences,No,"February 14, 2022 → February 18, 2022",-373,"https://www.notion.so/90f3f872ab3549dfa219a41fa11d5ab1 ",Digital Assets - Web Development
Analysis,No,"May 16, 2022 → May 20, 2022",-282,"https://www.notion.so/ee88a950e27a40639ca14f52af21b89c ",Digital Assets - Web Development
Assessment - Programming Project,No,"March 7, 2022 → March 25, 2022",-352,"https://www.notion.so/ceddaf9716894687a47f2aad1fb67a4d ",Digital Assets - Web Development
Computational Thinking,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/217d3acbd49a49e291b1ef73868b2c8c ",Digital Assets - Web Development
CSS,No,"April 4, 2022 → April 8, 2022",-324,"https://www.notion.so/36ae71670c4e4bffb7c8f8ee0d6a4867 ",Digital Assets - Web Development
Data Structures,No,"February 28, 2022 → March 4, 2022",-359,"https://www.notion.so/83a18f22b19542b2ae3e9a2e75a5e1f8 ",Digital Assets - Web Development
HTML,No,"March 29, 2022 → April 1, 2022",-330,"https://www.notion.so/8974a0d34d1f4f39bec348dacf36355f ",Digital Assets - Web Development
HTML Forms,No,"May 9, 2022 → May 13, 2022",-289,"https://www.notion.so/a0d04128dbb74c149ee4a354bb15c38c ",Digital Assets - Web Development
Mathematical & Logic Operations,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/a426e82d36364011a318783107efe49c ",Digital Assets - Web Development
Media Collection,No,"May 26, 2022 → June 3, 2022",-272,"https://www.notion.so/6ae460ec08e042e1b2805393b238cf08 ",Digital Assets - Web Development
Ngunnawal Project - Planning,No,"April 26, 2022 → April 29, 2022",-302,"https://www.notion.so/cc6f882906734d6faaf97161c5c431e7 ",Digital Assets - Web Development
Ngunnawal Website Development,No,"May 2, 2022 → May 6, 2022",-296,"https://www.notion.so/e604e6f4dc264e4f8ea82536463e91bf ",Digital Assets - Web Development
Presentation Planning,No,"May 23, 2022 → May 27, 2022",-275,"https://www.notion.so/a33939a67865444781db0b1776b9e0e1 ",Digital Assets - Web Development
Programming Introduction,No,"January 31, 2022 → February 4, 2022",-387,"https://www.notion.so/6ea5bdc0c8ec4051bde76cea518d5db6 ",Digital Assets - Web Development
Project Website Layout,No,"April 6, 2022 → April 8, 2022",-322,"https://www.notion.so/b014686b02a84a92a45dc22546c90de0 ",Digital Assets - Web Development
Version Control,No,"February 7, 2022 → February 11, 2022",-380,"https://www.notion.so/e9b9ecf6434c4361baa80cf84c73d6ad ",Digital Assets - Web Development
Video Planning,No,"May 31, 2022 → June 3, 2022",-267,"https://www.notion.so/1ffb27d262474e04aedabd0653f63901 ",Digital Assets - Web Development
Video Production,No,"June 6, 2022 → June 10, 2022",-261,"https://www.notion.so/e06033a50cae47049841b4da2a56e1f2 ",Digital Assets - Web Development
Administrator Functionality,No,"October 24, 2022 → October 28, 2022",-121,,Digital Applications - Web
http://App.py - How does it work?,No,"July 27, 2022",-210,,Digital Applications - Web
Assessment 1 Due - Web Dev,Yes,"August 12, 2022",-194,,"Assessment Due Date, Digital Applications - Web"
Assessment 2 - Website Prototype,Yes,"October 21, 2022",-124,,"Assessment Due Date, Digital Applications - Web"
Assessment 3 Due - Final Version & Evaluation,Yes,"November 14, 2022",-100,,"Assessment Due Date, Digital Applications - Web"
Assessment Finalisation,No,"November 7, 2022 → November 11, 2022",-107,,Digital Applications - Web
Bootstrap Upgrade,No,"July 29, 2022",-208,,Digital Applications - Web
Catchup / Finalise site,No,"August 31, 2022 → September 2, 2022",-175,,Digital Applications - Web
Check Unit Outline,No,"July 29, 2022",-208,,"Digital Applications - Web, Independent Study - Robotics"
Configure the Project,No,"July 22, 2022",-215,,Digital Applications - Web
Contact Messages,No,"September 14, 2022",-161,,Digital Applications - Web
Create the Database,No,"July 22, 2022",-215,,Digital Applications - Web
Database Configuration,No,"August 17, 2022 → August 17, 2022",-189,,Digital Applications - Web
Development Log 1,No,"September 14, 2022",-161,,Digital Applications - Web
Development Log 2,No,"October 19, 2022",-126,,Digital Applications - Web
Dynamic Navbar,No,"September 23, 2022",-152,,Digital Applications - Web
Error Handlers,No,"September 5, 2022 → September 7, 2022",-170,,Digital Applications - Web
Feedback And Updates,No,"October 10, 2022 → October 14, 2022",-135,,Digital Applications - Web
Finalisation Website Development,No,"October 31, 2022 → November 4, 2022",-114,,Digital Applications - Web
Flash Feedback Messages,No,"August 31, 2022 → September 2, 2022",-175,,Digital Applications - Web
Homepage,No,"July 27, 2022 → July 27, 2022",-210,,Digital Applications - Web
Install Pycharm,No,"July 18, 2022",-219,,Digital Applications - Web
Model View Controller,No,"July 25, 2022",-212,,Digital Applications - Web
Ngunnawal Project Configuration,No,"July 18, 2022 → July 20, 2022",-219,,Digital Applications - Web
Ngunnawal Site Template,No,"July 25, 2022 → July 27, 2022",-212,,Digital Applications - Web
Ngunnawal Website Requirements,No,"August 15, 2022 → August 17, 2022",-191,,Digital Applications - Web
Password Reset,No,"August 29, 2022 → August 31, 2022",-177,,Digital Applications - Web
Photo Gallery,No,"September 20, 2022 → September 21, 2022",-155,,Digital Applications - Web
Project Finalisation,No,"October 17, 2022 → October 21, 2022",-128,,Digital Applications - Web
Task - Contact Form,No,"August 1, 2022 → August 3, 2022",-205,,Digital Applications - Web
User Access Level,No,"September 16, 2022 → September 19, 2022",-159,,Digital Applications - Web
User Login,No,"August 24, 2022 → August 26, 2022",-182,,Digital Applications - Web
User Logout,No,"August 26, 2022",-180,,Digital Applications - Web
User Profile,No,"September 5, 2022 → September 7, 2022",-170,,Digital Applications - Web
User Registration,No,"August 17, 2022 → August 24, 2022",-189,,Digital Applications - Web
Web App - ToDo,No,"August 8, 2022 → August 12, 2022",-198,,Digital Applications - Web
Advanced SQL,No,"April 3, 2023 → April 6, 2023",39,,Digital Solutions - Web
Algorithm Design - Loops,No,"February 27, 2023 → March 3, 2023",4,,Digital Solutions - Web
Algorithms - Decisions,No,"February 13, 2023 → February 17, 2023",-9,,Digital Solutions - Web
ANZAC Day,No,"April 25, 2023",61,,Digital Solutions - Web
Assessment 1,No,"February 24, 2023 → February 24, 2023",1,,"Assessment Due Date, Digital Solutions - Web"
Assessment 2 - Due,No,"March 24, 2023",29,,"Assessment Due Date, Digital Solutions - Web"
Computational Thinking,No,"February 6, 2023 → February 10, 2023",-16,,Digital Solutions - Web
Data Structures,No,"March 6, 2023 → March 10, 2023",11,,Digital Solutions - Web
Database Design,No,"March 14, 2023 → March 23, 2023",19,,Digital Solutions - Web
Flowcharts,No,"February 13, 2023 → February 17, 2023",-9,,Digital Solutions - Web
Modular Programming,No,"February 6, 2023 → February 10, 2023",-16,,Digital Solutions - Web
Programming Introduction,No,"January 30, 2023 → February 3, 2023",-23,,Digital Solutions - Web
SQL,No,"March 27, 2023 → March 29, 2023",32,,Digital Solutions - Web
Style Guide,No,"February 27, 2023 → March 3, 2023",4,,Digital Solutions - Web
Variables and Data Types,No,"February 13, 2023 → February 17, 2023",-9,,Digital Solutions - Web
Version Control,No,"February 6, 2023 → February 10, 2023",-16,,Digital Solutions - Web
Assessment 4 Details,No,"November 14, 2022 → November 18, 2022",-100,,PLANNING
Web App - Insult Generator,No,"August 15, 2022 → August 19, 2022",-191,,PLANNING
